mal
Gaya atiquipana
Cristaria adenophora
Cristaria cyanea
Abutilon reflexum
Cienfuegosia hitchcockii
Gossypium raimondii
Cienfuegosia tripartita
Pavonia narcissi
Wissadula divergens
Grewia tiliifolia
Pseudobombax guayasense
Nototriche hartwegii
Sida luschnathiana
Sida oligandra
Nototriche vargasii
Byttneria subsessilis
Sida vespertina
Sida multicrena
Pavonia bullulata
Pavonia nana
Pavonia aurelii
Hibiscus hasslerianus
Bordasia bicornis
Gaya bordasii
Sida albiflora
Urocarpidium albiflorum
Andeimalva chilensis
Corynabutilon viride
Corynabutilon hirsutum
Pavonia stenopetala
Pavonia reitzii
Pavonia pedersenii
Lecanophora jarae
Wercklea magnibracteata
Ayenia nummularia
Pavonia betonicifolia
Nototriche philippii
Pavonia rubra
Corynabutilon bicolor
Nototriche pygmaea
Nototriche ovata
Hibiscus urticaefolius
Acaulimalva dryadifolia
Acaulimalva sulphurea
Corchorus aquaticus
Tarasa cardenasii
Peltaea chiquitana
Nototriche glauca
Nototriche coactilis
Nototriche acuminata
Cienfuegosia subternata
Cienfuegosia hasslerana
Hibiscus adscensionis
Waltheria collina
Melochia leucantha
Ayenia luyensis
Byttneria melantha
Byttneria asplundii
